video_path,label
archive/train\Good morning\Copy of WIN_20240518_17_36_33_Pro (1).mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_33_Pro.mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_41_Pro (1).mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_41_Pro.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (1) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (2) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (2).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (3).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (1) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (2) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (2).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (3).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 3 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 3.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير.mp4,Good morning
archive/train\Good morning\good morning 1.mp4,Good morning
archive/train\Good morning\good morning 2.mp4,Good morning
archive/train\Good morning\WIN_20240518_17_36_33_Pro.mp4,Good morning
archive/train\Good morning\WIN_20240518_17_36_41_Pro.mp4,Good morning
archive/train\Good morning\صباح الخير (1).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (2).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (3).mp4,Good morning
archive/train\Good morning\صباح الخير 1.mp4,Good morning
archive/train\Good morning\صباح الخير 2 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 2 (2).mp4,Good morning
archive/train\Good morning\صباح الخير 2 (3).mp4,Good morning
archive/train\Good morning\صباح الخير 2.mp4,Good morning
archive/train\Good morning\صباح الخير 3 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 3.mp4,Good morning
archive/train\Good morning\صباح الخير.mp4,Good morning
archive/train\How are you\Copy of Copy of how are you 1 (1).mp4,How are you
archive/train\How are you\Copy of Copy of how are you 1.mp4,How are you
archive/train\How are you\Copy of how are you 1 (1).mp4,How are you
archive/train\How are you\Copy of how are you 1 (2).mp4,How are you
archive/train\How are you\Copy of how are you 1.mp4,How are you
archive/train\How are you\Copy of how are you 2 (1).mp4,How are you
archive/train\How are you\Copy of how are you 2 (2).mp4,How are you
archive/train\How are you\Copy of how are you 2.mp4,How are you
archive/train\How are you\Copy of كيف حالك (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (4).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1.mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2.mp4,How are you
archive/train\How are you\Copy of كيف حالك 3 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 3 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 3.mp4,How are you
archive/train\How are you\Copy of كيف حالك.mp4,How are you
archive/train\How are you\how are you 1.mp4,How are you
archive/train\How are you\how are you 2.mp4,How are you
archive/train\How are you\كيف حالك (1).mp4,How are you
archive/train\How are you\كيف حالك 1 (1).mp4,How are you
archive/train\How are you\كيف حالك 1 (2).mp4,How are you
archive/train\How are you\كيف حالك 1.mp4,How are you
archive/train\How are you\كيف حالك 2 (1).mp4,How are you
archive/train\How are you\كيف حالك 2.mp4,How are you
archive/train\How are you\كيف حالك 3.mp4,How are you
archive/train\How are you\كيف حالك.mp4,How are you
archive/train\I am fine\Copy of انا بخير (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (4).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (4).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4.mp4,I am fine
archive/train\I am fine\Copy of انا بخير.mp4,I am fine
archive/train\I am fine\انا بخير 1 (1).mp4,I am fine
archive/train\I am fine\انا بخير 1 (2).mp4,I am fine
archive/train\I am fine\انا بخير 1.mp4,I am fine
archive/train\I am fine\انا بخير 2 (1).mp4,I am fine
archive/train\I am fine\انا بخير 2 (2).mp4,I am fine
archive/train\I am fine\انا بخير 2.mp4,I am fine
archive/train\I am fine\انا بخير 3 (1).mp4,I am fine
archive/train\I am fine\انا بخير 3.mp4,I am fine
archive/train\I am fine\انا بخير 4.mp4,I am fine
archive/train\I am fine\انا بخير.mp4,I am fine
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 1 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 1 (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 1 (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 1.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 2 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 2 (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 2 (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك 2.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدنى مقابلتك.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (1) (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (1) (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (1) (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1 (4).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 1.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (1) (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (1) (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (1) (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2 (4).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 2.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 3 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 3 (2).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 3 (3).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\Copy of اسعدني مقابلتك 3.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدنى مقابلتك 1.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدنى مقابلتك 2.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدنى مقابلتك.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدني مقابلتك 1 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدني مقابلتك 1.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدني مقابلتك 2 (1).mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدني مقابلتك 2.mp4,I am pleased to meet you
archive/train\I am pleased to meet you\اسعدني مقابلتك 3.mp4,I am pleased to meet you
archive/train\I am sorry\Copy of i am sorry 1 (1).mp4,I am sorry
archive/train\I am sorry\Copy of i am sorry 1.mp4,I am sorry
archive/train\I am sorry\Copy of i am sorry 2 (1).mp4,I am sorry
archive/train\I am sorry\Copy of i am sorry 2.mp4,I am sorry
archive/train\I am sorry\Copy of WIN_20240518_17_31_18_Pro (1).mp4,I am sorry
archive/train\I am sorry\Copy of WIN_20240518_17_31_18_Pro.mp4,I am sorry
archive/train\I am sorry\Copy of WIN_20240518_17_31_29_Pro (1).mp4,I am sorry
archive/train\I am sorry\Copy of WIN_20240518_17_31_29_Pro.mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1 (1) (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1 (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1 (2) (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1 (2).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1 (3).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 1.mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2 (1) (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2 (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2 (2) (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2 (2).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2 (3).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 2.mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 3 (1) (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 3 (1).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 3 (2).mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف 3.mp4,I am sorry
archive/train\I am sorry\Copy of انا اسف.mp4,I am sorry
archive/train\I am sorry\i am sorry 1.mp4,I am sorry
archive/train\I am sorry\i am sorry 2.mp4,I am sorry
archive/train\I am sorry\WIN_20240518_17_31_18_Pro.mp4,I am sorry
archive/train\I am sorry\WIN_20240518_17_31_29_Pro.mp4,I am sorry
archive/train\I am sorry\انا اسف 1 (1).mp4,I am sorry
archive/train\I am sorry\انا اسف 1 (2).mp4,I am sorry
archive/train\I am sorry\انا اسف 1.mp4,I am sorry
archive/train\I am sorry\انا اسف 2 (1).mp4,I am sorry
archive/train\I am sorry\انا اسف 2 (2).mp4,I am sorry
archive/train\I am sorry\انا اسف 2 (3).mp4,I am sorry
archive/train\I am sorry\انا اسف 2.mp4,I am sorry
archive/train\I am sorry\انا اسف 3 (1).mp4,I am sorry
archive/train\I am sorry\انا اسف 3.mp4,I am sorry
archive/train\I am sorry\انا اسف.mp4,I am sorry
archive/train\Not bad\Copy of not bad 1 (1).mp4,Not bad
archive/train\Not bad\Copy of not bad 1 (2).mp4,Not bad
archive/train\Not bad\Copy of not bad 1.mp4,Not bad
archive/train\Not bad\Copy of not bad 2 (1).mp4,Not bad
archive/train\Not bad\Copy of not bad 2 (2).mp4,Not bad
archive/train\Not bad\Copy of not bad 2.mp4,Not bad
archive/train\Not bad\Copy of لا بأس (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (1) (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (1) (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (2) (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (2) (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (3).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1 (4).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 1.mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (1) (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (1) (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (2) (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (2) (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (3).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2 (4).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 2.mp4,Not bad
archive/train\Not bad\Copy of لا بأس 3 (1).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 3 (2).mp4,Not bad
archive/train\Not bad\Copy of لا بأس 3.mp4,Not bad
archive/train\Not bad\Copy of لا بأس.mp4,Not bad
archive/train\Not bad\not bad 1.mp4,Not bad
archive/train\Not bad\not bad 2.mp4,Not bad
archive/train\Not bad\لا بأس 1 (1).mp4,Not bad
archive/train\Not bad\لا بأس 1 (2).mp4,Not bad
archive/train\Not bad\لا بأس 1.mp4,Not bad
archive/train\Not bad\لا بأس 2 (1).mp4,Not bad
archive/train\Not bad\لا بأس 2 (2).mp4,Not bad
archive/train\Not bad\لا بأس 2.mp4,Not bad
archive/train\Not bad\لا بأس 3.mp4,Not bad
archive/train\Not bad\لا بأس.mp4,Not bad
archive/train\Salam aleikum\Copy of Salam aleikum 1 (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of Salam aleikum 1.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of Salam aleikum 2 (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of Salam aleikum 2.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of WIN_20240518_17_25_23_Pro (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of WIN_20240518_17_25_23_Pro.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of WIN_20240518_17_25_57_Pro (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of WIN_20240518_17_25_57_Pro.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1 (1) (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1 (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1 (2) (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1 (2).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1 (3).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 1.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2 (1) (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2 (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2 (2) (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2 (2).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2 (3).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 2.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 3 (1) (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 3 (1).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 3 (2).mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم 3.mp4,Salam aleikum
archive/train\Salam aleikum\Copy of السلام عليكم.mp4,Salam aleikum
archive/train\Salam aleikum\Salam aleikum 1.mp4,Salam aleikum
archive/train\Salam aleikum\Salam aleikum 2.mp4,Salam aleikum
archive/train\Salam aleikum\WIN_20240518_17_25_23_Pro.mp4,Salam aleikum
